Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
73,13289,"Hollins, Mack",NEP,WR,54.1,3.5,35.4,479.0,1.2,0.6,0.0,0.0,0.6,0.0,0.0,1.9,1.0,0.3,0.1,5.0,0.0,13.0,0.0,2.4,55.5
74,16189,"Mims, Marvin",DEN,WR,56.8,3.8,39.6,381.0,0.8,0.3,0.0,0.5,0.0,0.0,0.0,1.5,0.8,0.3,0.1,74.0,0.8,430.0,0.0,3.5,55.4
75,16207,"Iosivas, Andrei",CIN,WR,52.0,7.1,28.5,385.0,2.4,1.4,0.4,0.6,0.0,0.0,0.0,1.5,0.8,0.3,0.1,6.0,0.0,17.0,0.0,6.8,53.7
76,17157,"TeSlaa, Isaac",DET,WR,30.3,7.8,19.5,275.0,4.3,0.7,3.1,0.5,0.0,0.0,0.0,1.1,0.5,0.2,0.1,3.0,0.0,21.0,0.0,6.3,53.7
77,17498,"Tyson, Jordyn",NOS,WR,67.4,7.3,38.9,410.0,1.8,0.0,1.8,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,19.0,0.0,39.0,0.0,4.7,53.7
78,16617,"Coleman, Keon",BUF,WR,55.3,7.8,30.1,305.0,3.9,1.4,1.8,0.0,0.7,0.0,0.0,1.2,0.6,0.2,0.1,0.0,0.0,0.0,0.6,5.5,52.7
79,15788,"Tolbert, Jalen",MIA,WR,50.4,7.3,31.3,342.0,1.8,1.3,0.0,0.0,0.6,0.0,0.0,1.4,0.7,0.2,0.1,14.0,0.8,303.0,0.4,6.6,51.6
80,17082,"Bryant, Pat",DEN,WR,52.5,7.1,33.2,419.0,1.3,0.0,0.0,1.3,0.0,0.0,0.0,1.7,0.8,0.3,0.1,3.0,0.0,37.0,0.0,5.6,49.8
81,15786,"Nailor, Jalen",LVR,WR,47.5,7.7,26.4,306.0,2.8,1.7,0.0,1.1,0.0,0.0,0.0,1.2,0.6,0.2,0.1,11.0,0.0,0.0,0.0,5.7,49.1
82,16201,"Hutchinson, Xavier",HOU,WR,61.5,7.3,31.1,343.0,1.8,0.6,0.8,0.0,0.1,0.2,0.0,1.4,0.7,0.2,0.1,21.0,0.0,184.0,0.0,6.1,47.3
83,13629,"Ridley, Calvin",TEN,WR,53.9,3.2,27.7,419.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,1.7,0.8,0.3,0.1,14.0,0.0,42.0,0.0,2.3,47.0
84,16342,"Douglas, Demario",NEP,WR,33.5,2.2,21.4,324.0,2.0,0.0,0.1,0.6,0.5,0.0,0.8,1.3,0.6,0.2,0.1,12.0,0.0,76.0,0.0,3.2,45.7
85,16080,"Shaheed, Rashid",SEA,WR,51.3,5.6,26.2,350.0,0.6,0.0,0.4,0.0,0.0,0.0,0.2,1.4,0.7,0.2,0.1,63.0,0.0,463.0,0.5,1.4,44.2
86,15981,"Turpin, KaVontae",DAL,WR,38.3,4.4,21.3,295.0,1.1,0.0,0.5,0.0,0.0,0.0,0.6,1.2,0.6,0.2,0.1,86.0,0.0,1251.0,0.4,2.6,43.7
87,17501,"Concepcion, KC",CLE,WR,67.8,4.6,35.1,391.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,1.6,0.8,0.3,0.1,17.0,0.0,60.0,0.6,2.4,42.6
88,14840,"Aiyuk, Brandon",SFO,WR,50.7,4.5,28.6,346.0,0.9,0.0,0.0,0.5,0.5,0.0,0.0,1.4,0.7,0.2,0.1,13.0,0.0,82.0,0.0,4.0,42.0
89,16788,"Vele, Devaughn",NOS,WR,50.3,4.2,30.1,328.0,1.5,1.4,0.1,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,-0.3,0.0,78.0,0.5,4.2,40.7
90,14105,"Brown, Marquise",PHI,WR,42.2,3.1,23.8,301.0,1.7,0.5,1.1,0.0,0.0,0.0,0.0,1.2,0.6,0.2,0.1,0.0,0.0,39.0,0.0,3.3,40.1
91,14974,"Mooney, Darnell",NYG,WR,73.4,9.3,28.9,368.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,1.5,0.7,0.2,0.1,0.0,0.0,124.0,0.0,3.8,39.3
92,15319,"Palmer, Joshua",BUF,WR,46.8,7.7,26.1,329.0,1.0,0.7,0.2,0.0,0.0,0.0,0.0,1.3,0.7,0.2,0.1,0.0,0.0,21.0,0.0,4.4,39.3
93,16621,"Walker, Devontez",BAL,WR,23.2,2.8,10.4,174.0,3.3,0.9,0.0,1.7,0.7,0.0,0.0,0.7,0.3,0.1,0.0,0.0,0.0,0.0,0.0,4.2,37.2
94,12785,"Robinson, Demarcus",SFO,WR,35.0,2.8,21.4,283.0,1.0,0.2,0.0,0.8,0.0,0.0,0.0,1.1,0.6,0.2,0.1,8.0,0.0,245.0,0.0,2.7,36.7
