Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
66,16221,"Schoonmaker, Luke",DAL,TE,28.4,2.2,18.9,177.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0,1.3,18.7
67,15796,"Ruckert, Jeremy",NYJ,TE,27.3,2.4,20.5,155.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,1.5,18.7
68,16312,"Whyle, Josh",GBP,TE,13.3,1.8,9.6,78.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1.8,18.6
69,17648,"Nowakowski, Riley",PIT,TE,15.0,0.7,10.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,38.0,0.8,0.0,0.0,2.4,17.0
70,14341,"Parham, Donald",PIT,TE,14.2,0.7,9.5,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,36.0,0.7,0.0,0.0,2.3,16.2
71,17419,"Latu, Keleki",BUF,TE,17.4,0.4,13.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.8,15.7
72,13676,"Smythe, Durham",BAL,TE,23.0,2.2,15.1,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.3,15.2
73,16831,"Martin-Robinson, David",TEN,TE,12.0,1.4,10.0,70.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.4,15.1
74,17605,"Kacmarek, Will",MIA,TE,21.8,2.2,15.2,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,3.0,0.0,0.0,0.8,0.7,15.1
75,16113,"Smartt, Stone",PHI,TE,17.9,1.2,14.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,15.0
76,16215,"Musgrave, Luke",GBP,TE,23.5,0.7,15.6,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.4,14.8
77,13427,"Tonyan, Robert",PIT,TE,11.3,0.6,7.9,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,33.0,0.7,0.0,0.0,2.0,13.8
78,13675,"Conklin, Tyler",DET,TE,14.9,1.6,8.7,104.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,1.0,0.0,0.0,0.0,1.6,13.7
79,13678,"Thomas, Ian",LVR,TE,15.0,0.6,13.1,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,13.6
80,15344,"Bates, John",WAS,TE,21.5,2.4,14.2,139.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.5,2.4,13.5
