Rank,Player ID,Player Name,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
28,14085,"Pollard, Tony",TEN,RB,256.4,1108.0,4.6,2.7,0.5,0.5,0.5,0.0,0.5,12.9,2.2,52.7,1.9,36.1,211.0,0.0,0.8,0.4,0.0,2.2,14.9,156.0
29,14071,"Montgomery, David",HOU,RB,211.5,851.0,6.5,4.6,0.4,0.7,0.8,0.0,0.0,3.4,1.7,38.9,4.9,30.5,218.0,1.3,0.9,0.4,0.0,0.7,27.4,153.3
30,17066,"Monangai, Kyle",CHI,RB,195.1,800.0,5.4,5.4,0.0,0.0,0.0,0.0,0.0,3.2,1.6,45.7,5.3,28.3,263.0,0.0,1.1,0.5,1.0,0.0,21.4,144.0
31,14823,"Dowdle, Rico",PIT,RB,188.2,821.0,4.4,4.4,0.0,0.0,0.0,0.0,0.0,5.3,1.6,48.6,4.1,37.7,294.0,1.2,1.2,0.6,354.0,1.4,15.6,142.3
32,16169,"Charbonnet, Zach",SEA,RB,140.7,637.0,9.7,7.6,1.1,0.9,0.0,0.0,0.0,3.3,1.3,22.6,2.9,18.8,167.0,0.0,0.7,0.3,0.0,0.0,23.6,140.1
33,17068,"Harvey, RJ",DEN,RB,129.1,481.0,4.9,3.6,0.0,0.0,0.6,0.7,0.0,1.9,1.0,58.3,9.1,45.7,346.0,4.6,1.4,0.7,321.0,0.6,15.0,138.8
34,17256,"Croskey-Merritt, Jacory",WAS,RB,167.7,760.0,8.2,4.1,2.6,0.0,0.0,0.2,1.3,3.5,1.5,17.2,0.9,12.7,83.0,0.0,0.3,0.2,42.0,1.3,25.8,131.3
35,14800,"Dobbins, J.K.",DEN,RB,170.7,810.0,5.1,3.7,1.4,0.0,0.0,0.0,0.0,9.8,1.6,33.9,3.6,26.3,145.0,0.5,0.6,0.3,0.0,0.4,14.6,127.9
36,15255,"Gainwell, Kenneth",TBB,RB,114.9,499.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,72.2,13.0,56.9,386.0,2.2,1.5,0.8,413.0,0.6,20.3,121.3
37,13319,"Jones, Aaron",MIN,RB,173.7,750.0,3.3,2.7,0.6,0.0,0.0,0.0,0.0,8.2,1.5,51.7,9.6,33.1,213.0,1.1,0.9,0.4,0.0,1.7,11.5,119.2
38,16593,"Corum, Blake",LAR,RB,161.3,750.0,4.2,2.9,0.9,0.0,0.0,0.5,0.0,3.0,1.5,18.2,0.0,14.7,100.0,0.0,0.4,0.2,258.0,0.0,17.7,110.4
39,17053,"Marks, Woody",HOU,RB,193.3,705.0,2.3,1.5,0.8,0.0,0.0,0.0,0.0,2.8,1.4,31.5,6.7,20.2,163.0,1.5,0.7,0.3,0.0,0.9,17.3,107.5
40,16747,"Tracy, Tyrone",NYG,RB,140.0,555.0,2.3,0.8,0.9,0.0,0.5,0.0,0.0,5.8,1.1,35.3,3.1,25.7,211.0,1.2,0.8,0.4,65.0,0.1,10.4,97.3
41,15972,"Mason, Jordan",MIN,RB,136.4,660.0,4.0,3.0,0.9,0.0,0.0,0.0,0.0,2.6,1.3,17.3,1.8,13.6,57.0,0.2,0.2,0.1,0.0,0.5,9.1,96.0
42,16165,"Spears, Tyjae",TEN,RB,100.7,400.0,3.4,2.7,0.7,0.0,0.0,0.0,0.0,1.6,0.8,64.1,8.3,53.6,307.0,0.2,1.2,0.6,132.0,0.0,11.9,92.3
43,15712,"Allgeier, Tyler",ARI,RB,118.7,432.0,4.1,2.8,0.6,0.6,0.0,0.0,0.0,1.7,0.9,33.3,5.2,23.8,185.0,0.3,0.7,0.4,64.0,0.0,12.2,88.4
44,15721,"White, Rachaad",WAS,RB,132.6,555.0,2.4,2.4,0.0,0.0,0.0,0.0,0.0,2.2,1.1,40.7,8.6,32.4,175.0,0.0,0.7,0.4,7.0,0.4,17.8,86.8
45,15749,"Pacheco, Isiah",DET,RB,127.2,493.0,2.2,1.7,0.0,0.0,0.5,0.0,0.0,2.0,1.0,24.9,2.7,18.8,118.0,0.5,0.5,0.2,0.0,0.0,12.0,77.9
46,16757,"Vidal, Kimani",LAC,RB,138.1,505.0,2.4,1.6,0.0,0.0,0.0,0.0,0.8,2.0,1.0,19.6,4.9,13.1,118.0,0.2,0.5,0.2,217.0,0.0,12.8,77.8
47,17473,"Price, Jadarian",SEA,RB,134.5,500.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,2.0,1.0,31.4,3.6,24.5,149.0,0.0,0.6,0.3,56.0,0.4,8.3,77.3
48,14080,"Singletary, Devin",NYG,RB,108.4,345.0,4.5,4.3,0.0,0.2,0.0,0.0,0.0,1.4,0.7,19.2,0.9,17.2,148.0,0.0,0.6,0.3,402.0,0.0,14.8,76.2
49,16174,"Rodriguez, Chris",JAC,RB,89.6,369.0,3.8,3.8,0.0,0.0,0.0,0.0,0.0,1.5,0.7,9.4,1.4,6.2,49.0,0.7,0.2,0.1,216.0,0.0,14.0,69.1
